"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"141","201289_at","ADIPOQ","201108_s_at","SEC23A","203320_at","LHX1","226372_at","RASSF4","1552701_a_at","LHX1","241262_at","LYN"
"142","219179_at","TMEM47","226142_at","RECK","208018_s_at","RNF125","208983_s_at","DOCK8","205504_at","TRIM14","225415_at","ZKSCAN3"
"143","213139_at","NEXN","204955_at","MXRA5","215049_x_at","TRIM14","207677_s_at","PIK3AP1","226474_at","MYO5A","235334_at","FXYD3"
"144","212764_at","MN1","228573_at","COL6A1","212998_x_at","MYO5A","230550_at","MAF","202531_at","ASXL3","228850_s_at","TMC5"
"145","1552289_a_at","CPE","201110_s_at","ADAMTS12","210895_s_at","ASXL3","214617_at","CORO1A","213975_s_at","DTNA","235651_at","COL5A1"
"146","1561689_at","C7orf10","211813_x_at","NLGN4X","228333_at","HELLS","207691_x_at","IGLL3P","201743_at","CORO2A","214211_at","FAM169A"
"147","222484_s_at","LDB2","219561_at","NLRC3","212667_at","DTNA","228333_at","GLIPR1","204070_at","ZFP42","239370_at","CX3CR1"
"148","205941_s_at","INHBA","218638_s_at","COL6A2","205269_at","HSPA7","212681_at","CD38","204924_at","HSPA7","226905_at","NOVA1"
"149","224560_at","EDNRA","211896_s_at","SNAI2","217118_s_at","IRF1","213603_s_at","SLCO2B1","212671_s_at","IRF1","204174_at","CEBPD"
"150","226676_at","GPC6","204114_at","PDLIM2","204298_s_at","FOS","209901_x_at","SFRP4","229367_s_at","CDH3","1567224_at","PRKD1"
"151","230708_at","LPAR3","209365_s_at","PLAT","1555812_a_at","CDH3","205291_at","MIAT","218232_at","BTK","215223_s_at","DMBT1"
"152","218002_s_at","GULP1","226930_at","MAP1B","205100_at","TLR1","223303_at","MARCH1","217478_s_at","TLR1","225202_at","IQGAP1"
"153","205499_at","GLI3","200907_s_at","C1QTNF3","210133_at","SELPLG","202450_s_at","COL6A3","209879_at","SELPLG","236421_at","LRRN1"
"154","214587_at","COL3A1","228333_at","KITLG","210889_s_at","SLC31A2","213241_at","NKG7","205798_at","SLC31A2","1553321_a_at","HMGA2"
"155","213909_at","COL5A2","203903_s_at","ZEB1","211367_s_at","CORO1C","207419_s_at","IGSF6","204205_at","H2AFY","205741_s_at","CEP170"
"156","227486_at","ACTA2","223499_at","BGN","202311_s_at","COL15A1","228869_at","RTN1","221477_s_at","PSTPIP2","213572_s_at","LIFR"
"157","209651_at","SULF1","214043_at","GJB2","219243_at","H2AFY","204951_at","PAPSS2","211429_s_at","GPR65","203028_s_at","FBXO32"
"158","202465_at","CYR61","220918_at","KAL1","204620_s_at","PSTPIP2","232617_at","FPR3","213603_s_at","RAB27A","226876_at","FRAS1"
"159","202998_s_at","ID3","208131_s_at","RAI14","202766_s_at","GPR65","204006_s_at","NEXN","205159_at","DEPDC6","232478_at","MFAP4"
"160","227059_at","CALB2","226905_at","GLIS2","221731_x_at","RAB27A","205306_x_at","SOAT1","205101_at","CYP2C8","227038_at","MAL2"
"161","217430_x_at","PAM","204298_s_at","GPR34","202664_at","IGFBP4","204959_at","C1QA","202953_at","CYSLTR1","227084_at","MTM1"
"162","205700_at","DLC1","201150_s_at","EVI2B","212671_s_at","CYP2C8","213416_at","C1QC","238668_at","CCR7","203571_s_at","LRP4"
"163","201108_s_at","CLDN1","210757_x_at","EVI2A","214467_at","CYSLTR1","212636_at","C1QB","227184_at","DRAM1","214051_at","EMB"
"164","204955_at","HEPH","202363_at","CNN1","204924_at","DRAM1","214560_at","ITGAL","210992_x_at","ITM2A","222164_at","RASGEF1A"
"165","201262_s_at","PLS3","202465_at","ADAM19","204204_at","ITM2A","201141_at","INHBA","238025_at","CXCR6","226232_at","OSMR"
"166","210987_x_at","SLIT2","219700_at","ETS1","205859_at","GFPT2","210140_at","EDNRA","213539_at","CCR1","227051_at","COL9A3"
"167","213001_at","WISP1","213338_at","FLI1","206011_at","CXCL14","213125_at","HCK","238725_at","PKHD1L1","201865_x_at","CKMT1B"
"168","228293_at","SCUBE2","231579_s_at","BCL2A1","223303_at","CCR1","205786_s_at","TFPI","203236_s_at","CCR2","211671_s_at","HIF3A"
"169","209596_at","MYO1B","211668_s_at","COMP","202953_at","CCR2","218232_at","ANKRD22","203561_at","CCR5","216321_s_at","RNASE6"
"170","226065_at","PALLD","227295_at","EPYC","209879_at","IGF1","203381_s_at","ST8SIA4","205291_at","TMEFF1","1565595_at","CKMT1A"
"171","233607_at","PCOLCE","219179_at","LUM","221840_at","CCR5","223405_at","CYBB","203470_s_at","TGFBI","229080_at","C19orf33"
"172","221019_s_at","TMEM200A","201279_s_at","DCN","226237_at","TOX","209955_s_at","POU2AF1","209933_s_at","KRT23","205992_s_at","CCDC8"
"173","224817_at","LOXL1","213790_at","SLIT3","204232_at","SVEP1","230836_at","COL3A1","203923_s_at","PTGDS","216048_s_at","PNMAL1"
"174","227061_at","IDO1","203878_s_at","TNFRSF19","207238_s_at","MEGF10","244352_at","DOCK11","232543_x_at","DERL1","232617_at","SLC46A3"
