"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"1711","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203256_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1554863_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1712","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","229638_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202149_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1713","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209488_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","225990_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1714","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","216850_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209897_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1715","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202086_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202746_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1716","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","214768_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","242321_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1717","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228739_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","201842_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1718","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203129_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","213423_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1719","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","244112_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204051_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1720","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","206089_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","225242_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1721","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","234884_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204537_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1722","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","200962_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209480_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1723","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211650_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","236824_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1724","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219014_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","212977_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1725","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","239381_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210511_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1726","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","213931_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219352_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1727","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209591_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219764_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1728","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","241916_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","214164_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1729","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","222871_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","213880_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1730","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","217281_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","223315_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1731","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","207175_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204745_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1732","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","224218_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","213348_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1733","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","237290_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203180_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1734","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","222043_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205817_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1735","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211639_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211663_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1736","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","215214_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","229160_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1737","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1556054_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205666_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1738","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","223748_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","218677_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1739","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209540_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211813_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1740","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205249_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","230875_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1741","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","226576_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","231381_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1742","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","235371_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219871_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1743","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211634_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209598_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1744","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","238370_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228100_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1745","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210764_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","233223_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1746","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","237810_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228347_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1747","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203295_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202489_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1748","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209627_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203889_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1749","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227099_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","215867_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1750","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","243018_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","215143_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1751","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","230000_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202363_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1752","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1556069_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","223623_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1753","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203296_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","212843_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1754","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","217179_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","214373_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1755","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219837_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","229479_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1756","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","213943_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","236044_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1757","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203423_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228245_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1758","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","230563_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","224847_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1759","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205206_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205969_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1760","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203021_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","230673_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1761","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1555938_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","223800_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1762","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210029_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210393_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1763","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202912_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","215306_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1764","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","220196_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203963_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1765","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204897_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","229700_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1766","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","231213_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","218858_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1767","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","235355_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205186_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1768","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227084_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203153_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1769","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203130_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204424_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1770","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","230964_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227394_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1771","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227498_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","223779_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1772","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205066_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204897_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1773","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","201925_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1552735_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1774","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227646_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","218807_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1775","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","218400_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205334_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1776","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209792_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","212233_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1777","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","221004_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","226777_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1778","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205590_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","217678_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1779","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202746_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","226145_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1780","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","214657_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","206404_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1781","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1565951_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","230130_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1782","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","231849_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209505_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1783","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","212942_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","212158_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1784","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228598_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","236313_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1785","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","212143_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228601_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1786","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","243428_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","239907_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1787","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","231576_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219759_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1788","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","222549_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","206632_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1789","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","233518_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219773_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1790","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205476_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","203290_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1791","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","218901_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205542_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1792","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","222853_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","225911_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1793","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210393_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","202376_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1794","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210942_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","232099_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1795","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","216853_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227081_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1796","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209469_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","218435_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1797","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","216557_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","223748_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1798","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","209242_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","229638_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1799","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","229178_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","212992_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1800","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205442_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","206280_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1801","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210397_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","232105_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1802","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","232318_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227475_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1803","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","206125_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","208383_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1804","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210072_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228780_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1805","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","205568_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1559394_a_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1806","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211633_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","221245_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1807","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211748_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","207039_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1808","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227081_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","227812_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1809","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","210735_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1557215_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1810","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","230722_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","236144_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1811","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204872_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","206953_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1812","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","232541_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228121_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1813","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","211868_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219873_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1814","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","1555950_a_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204052_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1815","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","219250_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","204465_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1816","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","225645_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","228195_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1817","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","214774_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1818","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","239887_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1819","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","238478_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
